@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
2.327383,0.523420,0.427917,0.731561,21.797031,102.962708,182.785004,230.704453,105.276505,52.884068,1.583503,c1
2.422741,0.720249,0.406173,0.761291,19.779089,62.314034,161.743088,262.374817,155.657700,33.412018,1.687133,c1
2.151059,0.524232,0.310891,0.708198,21.557478,85.830376,127.201080,198.738571,122.078918,50.501453,1.261324,c1
3.188004,1.269168,0.325245,0.647049,18.309443,65.964050,100.413788,232.211426,181.200958,68.897278,1.052404,c1
2.585091,0.651736,0.487540,0.543046,13.212427,53.587402,107.114899,169.914322,123.346870,94.263397,1.021503,c1
2.756990,0.745345,0.373019,0.584270,18.628336,71.620377,108.368462,200.289612,70.018723,94.229019,1.308604,c1
2.286099,0.205234,0.417707,0.827707,19.975876,193.183609,235.213287,155.388031,69.843918,29.371958,1.335848,c1
2.212801,0.570519,0.479091,0.435425,10.520257,66.763031,74.237183,104.651588,117.888084,128.693787,0.570900,c1
2.552167,0.729070,0.458363,0.655703,20.514030,56.104977,148.711838,259.430817,101.011154,68.852722,1.806190,c1
2.642049,0.970102,0.273903,0.591895,12.112218,80.220963,126.300407,257.913025,86.219292,94.813515,1.470652,c1
2.394403,0.475913,0.287929,0.445808,13.391355,60.945702,126.610870,145.908264,86.652946,179.604019,0.832876,c1
2.878605,1.057677,0.309570,0.534143,18.393297,53.964142,121.193634,184.875366,153.701111,102.369652,0.987208,c1
2.185559,0.399376,0.492015,0.672510,13.456193,67.594620,125.152946,274.757416,122.559906,70.884789,1.531993,c1
